M-ID,SMILE,P1,P2,P3,P4,P5
M593114,CC(=O)O[C@H]1CC[C@@]2(C)C(=C[C@@H]([C@@H]3C=C4C[C@H](OC(C)=O)CC[C@@]4(C)C4=C3[C@H]3C[C@H]5O[C@@]6(CC[C@H](C)CO6)[C@H](C)[C@@H]5[C@]3(C)CC4)C3=C2CC[C@@]2(C)[C@@H]3C[C@@H]3O[C@@]4(CC[C@H](C)CO4)[C@@H](C)[C@@H]32)C1,0,0,0,0,0
M562552,CN1[C@@H]2C[C@H](OC(=O)[C@@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@H]12,0,0,0,0,0
M629085,COc1ccc(NC(=O)N2CC3(CCN(C(=O)c4cccc(F)c4)CC3)C2)cc1,0,0,0,0,0
M861363,O=S(=O)(C[C@H](O)C(Cl)(Cl)Cl)NNc1ccccc1,0,0,0,0,0
M580888,C[C@@H]1NC(=O)CC=C[C@@H](C)[C@@H]2C=C[C@H](O)[C@@H](COC(=O)[C@H](C)NC(=O)CC=C[C@@H](C)[C@@H]3C=C[C@H](O)[C@@H](COC1=O)O3)O2,0,0,0,0,0
M453237,NCCCCNCCCN,0,0,0,0,0
M170413,CC(=O)N1CCC2(CC1)CCN(C(=O)Nc1cccc(F)c1)CC2,0,0,0,1,0
M439924,COc1ccccc1OC(C)C(=O)O,0,0,0,0,0
M635160,COC(=O)N1CCC[C@@]2(CCN(C(=O)Nc3cccc(C#N)c3)C2)C1,0,0,0,0,0
M419965,N#Cc1cccc(-c2nccc(NCc3ccccc3)n2)c1,1,1,0,1,1
M983639,O=[N+]([O-])c1ccc(Cl)c(-c2ccc(/C=N/c3c(-c4ccco4)nc4ccccn34)o2)c1,0,0,0,0,0
M323490,CN(C)c1ncnc2ccc(-c3cccc(NS(C)(=O)=O)c3)cc12,1,0,0,0,1
M973331,N#Cc1cccc(-c2cncnc2NCc2cccnc2)c1,1,1,0,0,1
M769244,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,0,0,0,0,0
M815500,COc1ccc(OC)c(N2CC(=O)C(c3nc4ccccc4s3)=C2N)c1,1,1,1,1,1
M330627,NC(=O)NOC[C@@H]1NC(=O)NC1=O,0,0,0,0,0
M636703,Cc1cc(N2CCCCC2)nc(NCc2ccccc2)n1,1,1,0,1,0
M458917,CCC(=O)O[C@@H]1CC(=O)O[C@H](C)CC=CC=C[C@H](O)[C@H](C)C[C@H](CC=O)[C@@H](O[C@H]2O[C@@H](C)[C@@H](O[C@@H]3C[C@](C)(O)[C@H](OC(=O)CC)[C@H](C)O3)[C@@H](N(C)C)[C@@H]2O)[C@@H]1OC,0,0,0,0,0
M388533,O=C1C=C[C@@H](O)[C@@H]2[C@@H]1CC[C@H]1C(=O)N(c3cccc(Oc4ccccc4)c3)C(=O)[C@H]12,0,0,0,0,0
M191562,NC(=O)C[C@H](NC(=O)Cc1ccc(O)cc1O)C(=O)O,0,0,0,0,0
M114861,O=C(N/N=C/c1cccc(Oc2ccccc2)c1)c1cccc(Br)c1,1,1,1,0,0
M505487,COc1ccc(C2C(Oc3ccccc3)C(=O)N2c2cc(C)ccc2C)cc1OC,0,1,1,0,1
M678803,COc1cc(C(=O)O)c([N+](=O)[O-])c(OC)c1OC,0,0,0,0,0
M742415,NCCC[C@H](N)CC(=O)N[C@H]1CNC(=O)[C@@H]([C@@H]2C[C@H](O)N=C(N)N2)NC(=O)/C(=C/NC(N)=O)NC(=O)[C@@H](CO)NC(=O)[C@@H](CO)NC1=O,0,0,0,0,0
M956066,O=S(=O)(c1ccc(Br)cc1)N1CCN(S(=O)(=O)c2ccc(Br)cc2)CC1,0,0,0,0,0
M754172,O=C(COC(=O)C1CCN(S(=O)(=O)c2cc([N+](=O)[O-])ccc2Cl)CC1)Nc1ncc(Cl)cc1Cl,1,1,1,0,1
M611080,Cc1cc(Cc2c(C)c(C)c(Cc3cc(C)cc(C(C)(C)C)c3O)c(C)c2C)c(O)c(C(C)(C)C)c1,0,0,0,0,0
M267661,Oc1nc(S)nc2c1CN(CCCN1CCOCC1)CN2,0,0,0,0,0
M133102,CC(C/C=N/NC(=O)COc1cc(Cl)ccc1Cl)c1ccccc1,1,1,1,1,1
M708602,Clc1ccc2c(c1)C(c1cccs1)=NNC(c1cccnc1)=N2,1,1,1,1,1
M188886,CC(C)[C@@H](C)/C=C\[C@@H](C)[C@@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]12C,0,0,0,0,0
M616965,N[C@@H](CS(=O)O)C(=O)O,0,0,0,0,0
M682330,CC[C@H](C)C(=O)O[C@@H]1[C@H](O)[C@@H]2[C@H](CN3C[C@@H](C)CC[C@@H]3[C@@]2(C)O)[C@@H]2C[C@@]34O[C@@]5(O)[C@@H](OC(=O)[C@](C)(O)CC)CC[C@@]3(C)[C@H]5[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]4[C@@]21O,0,0,0,0,0
M896967,Cc1sc(NC(=O)/C=C/c2ccc(C(C)C)cc2)c(C#N)c1C,0,0,0,0,0
M981510,O=C(Nc1cccc(F)c1)N1CC2(CCN(C(=O)c3cnccn3)CC2)C1,0,0,0,0,0
M297444,NC[C@@H]1O[C@H](COC[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@@H](N)C[C@@H](N)[C@@H]3O[C@H]3O[C@@H](CN)[C@@H](O)[C@@H](O)[C@@H]3N)[C@H]2O)[C@@H](N)[C@H](O)[C@@H]1O,0,0,0,0,0
M797907,CC(C)CO/N=C1/C[C@@H](O)[C@@H](O)[C@H]2[C@@H]1CC[C@@H]1C(=O)N(C[C@@H]3CCCO3)C(=O)[C@H]12,0,0,0,0,0
M840001,CC(C)(C)c1cc2c(O)c(c1)Cc1cc(C(C)(C)C)cc(c1O)Cc1cc(C(C)(C)C)cc(c1O)Cc1cc(C(C)(C)C)cc(c1O)Cc1cc(C(C)(C)C)cc(c1O)Cc1cc(C(C)(C)C)cc(c1O)Cc1cc(C(C)(C)C)cc(c1O)Cc1cc(C(C)(C)C)cc(c1O)C2,0,0,0,0,0
M565051,COc1ccc(C(=O)N2CCC3(CC2)CN(C(=O)NC(C)C)C3)cc1,0,0,0,0,0
M673198,CCOc1ccccc1Nc1ccc(N)cc1S(=O)(=O)O,0,0,0,0,0
M945844,COc1cc2cc3c4c(cc(OC)c(OC)c4c2cc1OC)CCN3C,1,1,1,1,1
M832948,CC(C)(C)N1C(=O)[C@H]2CC[C@H]3/C(=N\NC(=O)OCc4ccccc4)C[C@@H](O)[C@@H](O)[C@@H]3[C@@H]2C1=O,0,0,0,0,0
M739993,COC(=O)[C@@]1(Cc2ccccc2)[C@H]2c3cc(C(=O)N(C)C)n(CCO)c3C[C@H]2CN1C(=O)c1ccccc1,0,1,1,0,1
M379141,O=P(O)(O)CCP(=O)(O)O,0,0,0,0,0
M368519,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,0,0,0,0,0
M495930,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]21,0,0,0,1,0
M778262,COc1cccc(-c2nccc(NCc3ccccc3)n2)c1,1,1,0,1,1
M690280,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,1,1,0,1,1
M492706,Cc1nc(Sc2ccccc2)c(C#N)cc1-c1ccccc1,1,1,1,0,0
M919452,Cc1ccc(NC(=O)c2sccc2SCc2cccc(C(F)(F)F)c2)cc1,1,1,1,0,1
M145692,CCn1c2ccc(Cl)cc2c2nc3ccccc3nc21,1,1,1,0,1
M165331,CC(=O)N1CC2(CC2)CC1c1ccccc1,0,0,0,0,0
M651640,O=C(c1csnn1)N1CCC2(CCN(Cc3nccs3)CC2)CC1,0,0,0,0,0
M909531,NC[C@@H]1O[C@H](O[C@H]2[C@H](N)C[C@H](N)[C@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)[C@@H](N)[C@H](O)[C@@H]1O,0,0,0,0,0
M812702,CCOC(=O)C(NC(C)=O)C(=O)O,0,0,0,0,0
M593326,C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(CC)C(=O)[C@H]3CC[C@@H]12,0,0,0,0,0
M477242,CN(C)CCOC(=O)c1ccc(N)cc1,0,0,0,0,0
M632936,C[C@@H](CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,0,0,0,0,0
M756966,CCn1ncc(/C=C/C(=O)NCc2cn(C)nc2C)c1C,0,0,0,0,0
M745195,CS(=O)(=O)N1CCC[C@@]2(CCN(c3ccncc3)C2)C1,0,0,0,0,1
M429934,CCN(CC)CCN1C(=O)C(O)=C(C(=O)c2cccc(OC)c2)C1c1ccccn1,0,0,0,0,0
M133118,O=C(Nc1cccc2cccnc12)[C@H]1[C@@H]2CC[C@@H](O2)[C@@H]1C(=O)O,0,0,0,0,0
M347933,O=C(CCCCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I,0,0,0,0,0
M140923,COC(=O)CNC(=O)/C=C/c1ccc(OC)cc1,1,1,0,0,0
M849076,NC1(C(=O)NC2(C(=O)O)CCCC2)CCCC1,0,0,0,0,0
M908548,O=c1c2ccc([N+](=O)[O-])c3cccc(c32)c2nc3ccccc3n12,1,0,0,0,1
M970827,c1cncc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)c1,1,1,0,1,1
M427425,O=C(OC(C(=O)NC1CCCC1)c1ccncc1)C1=Cc2ccccc2OC1,1,1,1,0,1
M883346,C[C@@H]1O[C@H](O[C@H]2[C@@H](O)C[C@@H](O[C@H]3[C@@H](O)C[C@@H](O[C@H]4CC[C@]5(C)[C@@H](CC[C@@H]6[C@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@H]3C)O[C@H]2C)C[C@H](O)[C@@H]1O,0,0,0,0,0
M729568,N[C@@H](CCP(=O)(O)O)C(=O)O,0,0,0,0,0
M998121,O=C1C2=CC[C@H]3C(=O)N(Cc4ccccc4)C(=O)[C@@H]3[C@@H]2[C@H](O)[C@@H]2O[C@H]12,0,0,0,0,0
M524284,Nc1nc2cc(Cl)ccc2o1,1,0,0,0,0
M633316,Cc1nc(O)c(O)c(CN2CCCCC2)n1,0,0,0,0,0
M332431,O=C(O)[C@H]1CN(CCCP(=O)(O)O)CCN1,0,0,0,0,0
M511662,N[C@@H](CSC(=O)c1ccccc1)C(=O)O,0,0,0,0,0
M654151,CCCOc1ccc2[nH]cc(C3=CCNCC3)c2n1,1,1,1,0,1
M453536,CCSc1nc2ccccc2n1C(=O)/C=C\c1ccc(OC)c(OC)c1,1,1,1,0,1
M350666,COc1ccc(C(=O)c2ccccc2O)c(O)c1,1,1,0,0,0
M489072,Cc1noc(C)c1C(=O)N1CCC2(CCCN(C(c3ccccc3)c3ccccc3)C2)CC1,0,0,0,1,0
M445250,Nc1c(O)cccc1C(=O)C[C@@H](N)C(=O)O,0,0,0,0,0
M231919,C[C@@H]1O[C@H](O[C@@H]2[C@H](CO)O[C@H](OC[C@@H]3O[C@H](OC(=O)[C@@]45CC[C@@H](C)[C@@H](C)[C@@H]4C4=CC[C@@H]6[C@](C)(CC[C@H]7[C@@](C)(CO)[C@H](O)[C@H](O)C[C@]67C)[C@]4(C)CC5)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O,0,0,0,0,0
M922073,CCc1nc(SCC(=O)c2ccc(Cl)s2)c2oc3ccccc3c2n1,1,1,1,0,1
M177570,Cc1ccc(NC(=O)/C(=C/c2cccc([N+](=O)[O-])c2)NC(=O)C2CCCCC2)c(C)c1,0,0,0,0,1
M200618,O=C(O)Cc1c(O)ccc2ccccc12,0,0,0,0,0
M665062,CCOC(=O)CCN1C(=O)[C@H]2CC[C@H]3/C(=N\OC/C=C(\C)CCC=C(C)C)C[C@@H](O)[C@@H](O)[C@@H]3[C@@H]2C1=O,0,0,0,0,0
M939445,Cc1ccc(S(=O)(=O)NC(=O)NN2C[C@H]3CCC[C@@H]3C2)cc1,0,0,0,0,0
M712518,O=C1c2cccnc2C(O)N1C1CCCCC1,0,0,0,0,0
M891907,C=CCN1C(=O)NC(=O)/C(=C\NCCN(C)C)C1=O,0,1,0,0,0
M569519,CCOC(=O)c1oc2ccccc2c1NC(=O)c1ccc2c(c1)OCO2,1,1,0,1,1
M541606,CCC[C@@](C)(COC(N)=O)COC(=O)NC(C)C,0,0,0,0,0
M733472,CC(C)CNc1cc(N2CCCC2)ccc1[N+](=O)[O-],1,1,1,0,0
M395825,NC12CC3CC(CC(C3)C1)C2,0,0,0,0,0
M501216,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@@]3(CO)[C@@H]4[C@H](CC[C@@]3(O)C2)[C@@]2(O)CC[C@H](C3=CC(=O)OC3)[C@@]2(C)C[C@H]4O)[C@@H](O)[C@H](O)[C@H]1O,0,0,0,0,0
M357410,C[C@@](O)(CNS(=O)(=O)c1ccccc1)c1ccccc1,0,1,0,0,0
M986243,COC(=O)C(N)CCCNC(=N)N[N+](=O)[O-],0,0,0,0,0
M961200,NC(=O)C[C@@H](N)c1nnn[nH]1,0,0,0,0,0
M127942,O=C(O)CCC(=O)c1ccc(Cl)cc1,0,0,0,0,0
M806183,CC1(C)CCC(NC(=O)[C@H](N)CCC(=O)O)CC1,0,0,0,0,0
M407606,CC(C)c1ccc(/C=C2\C=C(c3ccc4ccccc4c3)OC2=O)cc1,0,0,0,0,0
M812374,N#Cc1ccc(CN2CC3(CCNCC3)C2)cc1,0,0,0,0,0
M971277,O=C(O)c1c(-c2nccc3ccccc23)[nH]c(-c2ccccc2)c1S(=O)(=O)O,0,0,0,0,0
M930608,CCCCCOc1ccc(NC(=O)C(=O)NCCC2=CCCCC2)cc1,0,0,0,0,0
M134549,O=C(O)c1ccc(C(=O)Nc2cccc3ccccc23)c(C(=O)O)c1,0,0,0,0,0
M872999,CCOC(=O)C1CCN(C(=O)c2ccccc2NC(C)=O)CC1,0,0,0,0,0
M740977,Cc1ccc(S(=O)(=O)N2CCN(S(C)(=O)=O)C2)cc1,0,1,0,0,0
M464727,COc1ccc(C(=O)Oc2cc(/C=N/NS(=O)(=O)c3ccc(C)cc3)ccc2OC)cc1,0,1,1,0,0
M107098,CSc1nc(C)cc(Nc2ccc(O)c(CN3CCOCC3)c2)n1,1,0,0,0,0
M101041,Cc1cc(C(F)F)n2ncc(C(=O)O)c2n1,0,0,0,0,0
M281243,Cc1cccc(C)c1NC(=O)[C@H](C)N,0,0,0,0,0
M257809,C[C@H](NCCN(C)C)[C@@H]1CC[C@@H]2[C@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]12C,0,0,0,0,0
M428765,COc1ccc(-c2nc(N)c3ncn([C@H]4O[C@@H](CO)[C@@H](O)[C@@H]4O)c3n2)cc1,0,0,0,0,0
M319815,CS(=O)(=O)N1N=C(c2ccc(Br)cc2)CC1c1ccc2c(c1)OCO2,1,1,1,1,1
M447874,O=C(O)Cn1ccnc1[N+](=O)[O-],0,0,0,0,0
M461963,CC(=O)OC1CCC(OC(C)=O)c2c1[n+]([O-])c(C)c(C)[n+]2[O-],0,0,0,0,0
M895325,Cc1cnc(CNc2ncnc3ccc(-c4cccc(C#N)c4)cc23)cn1,1,0,0,0,1
M724638,COc1cccc(C2=NOC(C(=O)NCCN3CCOCC3)C2)c1,0,0,0,0,0
M779142,C[C@H](CO)NC(=O)[C@@H]1C[C@H]1[C@@H](NP(=O)(c1ccccc1)c1ccccc1)c1ccccc1,0,0,0,0,1
M154507,Cc1ccc(CS(=O)(=O)CCC(=O)NCCCN2CCCC2=O)cc1,0,0,0,0,0
M636441,O=C1C2C3C=CC(C2C(=O)N1CN1CCOCC1)C1C2C(=O)N(CN4CCOCC4)C(=O)C2C31,0,0,0,0,0
M552743,CCCc1nnc(SCC(=O)N2CCCC(C)C2)n1CC1CCCO1,0,0,0,0,1
M739367,C[C@]12CC[C@@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@H]1CCC2=O,0,0,0,0,0
M633346,C=CCSc1nc(Oc2ccccc2)c2sccc2n1,1,1,1,0,1
M850663,Cc1noc(C)c1-c1nc(NC2CCNCC2)c2ccccc2n1,1,0,0,0,0
M285845,N[C@@H](CO)C(=O)O,0,0,0,0,0
M648829,COc1ccc(NC(=O)N2CC3(CCN(C(=O)c4ccco4)CC3)C2)cc1,0,0,0,0,0
M519862,CC(C)[C@H](NC(=O)OC(C)(C)C)[C@@H](O)CC(=O)OC(C)(C)C,0,0,0,1,0
M806596,COc1cc(/C=N\NC(=O)C2C(=O)NCC2c2ccccc2)cc(OC)c1O,0,0,0,0,0
M168551,COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@H]2c3cc(C(=O)N4CCCC4)n(Cc4ccc(O)c(OC)c4)c3C[C@H]2CN1C(=O)c1ccccc1,0,1,1,0,1
M816278,COC(=O)N1CCC[C@@]2(CCN(c3ncccn3)C2)C1,0,0,0,0,0
M158691,CN(/C=C/C(=O)C(F)(F)F)Cc1ccccc1,0,1,0,0,0
M928664,CC(C)N(CC(=O)O)CC(=O)O,0,0,0,0,0
M614565,O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCC(CN2C(=O)c3cccc4cccc(c34)C2=O)CC1,1,0,0,0,0
M472952,O=C(O)/C=C(\CC(=O)O)C(=O)O,0,0,0,0,0
M828361,CC1=C2C(=O)[C@@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@H]2CC[C@@]12O[C@H]1C[C@H](C)CN[C@H]1[C@@H]2C,0,0,0,0,0
M764508,Cc1cccc(N(CC(=O)NC2CCCC2)C(=O)c2cc3cc4cccc(C)c4nc3s2)c1C,0,1,1,0,1
M324402,C[C@H]1C=CC=CC=CC=CC=CC=CC=C[C@@H](O[C@H]2O[C@@H](C)[C@@H](O)[C@@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@@H](C)[C@@H](C)[C@H]1O)C[C@@H](O)[C@H]2C(=O)O,0,0,0,0,0
M761233,Cc1ccc(Sc2cc(N3CCOCC3)nc(-c3ccccc3)n2)cc1,1,1,1,0,0
M854275,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,0,0,0,0,0
M720933,Cc1ccc(Sc2cc(Cl)nc(N)n2)cc1,0,0,0,0,0
M854176,CCC1(CCSC(=N)N)C(=O)NC(=O)NC1=O,0,0,0,0,0
M661261,COC(=O)NC/C=C\c1nc(CCCO)co1,0,0,0,0,0
M547568,COc1ccc(O[C@H]2C=C[C@@H](c3ccccc3)O[C@@H]2CO/N=C(\C)CCN2CCc3nc(-c4ccccc4)c(-c4ccccc4)cc3C2)cc1,0,1,0,0,0
M137730,C[C@H]1C[C@@H](C)C(=O)[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C1,0,0,0,0,0
M504830,Cc1ccc(C(=O)N2CCN(C3c4cccc5cccc(c45)C3NS(=O)(=O)c3ccccc3)CC2)cc1,0,1,1,1,1
M819785,CC(C)(C)N1C(=O)[C@H]2CC[C@H]3/C(=N\OCc4ccccc4)C[C@@H](O)[C@@H](O)[C@@H]3[C@@H]2C1=O,0,0,0,0,0
M669185,C[C@@H](CNC(N)=O)NC(N)=O,0,0,0,0,0
M740142,c1ccc(CNc2nc(-c3ccc4c(c3)OCO4)nc3ccccc23)cc1,1,1,0,1,1
M714177,N=C(N)NCCC[C@H](N)C(=O)O,0,0,0,0,0
M345804,c1csc(CN2CCC3(CCNCC3)CC2)n1,0,0,0,0,0
M377717,c1ccc(-c2cnc(-c3ccc(-c4ncc(-c5ccccc5)o4)cc3)o2)cc1,0,0,0,0,0
M642680,Cc1cc(O)nc(-n2nc3c(c2O)CCCC3)n1,0,0,0,0,0
M845726,O=C(CSCc1cccc(Cl)c1)NCc1ccc2c(c1)OCO2,1,1,1,1,1
M774556,CC[C@H](NC(=O)c1c(C)c(-c2ccccc2)nc2ccccc12)c1ccccc1,0,0,0,0,1
M936204,O=P(C(c1ccc2c(c1)OCO2)N1CCOCC1)(N1CCOCC1)N1CCOCC1,0,0,0,0,1
M993150,CC(C)CC(=O)N1CCC(O)(CS(=O)(=O)Cc2ccccc2)CC1,0,0,0,0,0
M797160,Nc1nc(-c2ccccc2)c(-c2ccccc2)c(-c2nc(N)nc(-c3ccccc3)c2-c2ccccc2)n1,0,0,0,0,0
M142150,O=C(O)CP(=O)(O)c1ccc(Cl)cc1,0,0,0,0,0
M430387,CNC[C@H](O)c1ccc(O)cc1,0,0,0,0,0
M254069,CCOC(=O)c1c(NC(=O)c2ccc(N3CCOCC3)c([N+](=O)[O-])c2)sc(C)c1C,0,0,0,0,0
M566787,CCN1CCCC1CNC(=O)c1cc(NC(C)=O)c(N(C)C)cc1OC,0,0,0,0,0
M174250,C=C1[C@@H]2C[C@]3([C@H]1O)[C@H](C[C@H]2O)[C@]12[C@@H](O)CC[C@@]4(C)CN(CC)[C@H]1[C@@H]3C[C@@H]24,0,0,0,0,0
M634236,CCCNC(=O)OC[C@@H]1O[C@H](CCO/N=C(\C)CCC(=O)OC[C@@H]2O[C@H](C#Cc3ccccc3)C=C[C@@H]2Oc2ccc(C)cc2)C=C[C@@H]1Oc1ccc(OC)cc1,0,0,0,0,1
M467703,O[C@@H](CN1CC1)[C@H](O)CN1CC1,0,0,0,0,0
M424536,C[C@H](N)Cc1c[nH]cn1,0,0,0,0,0
M454836,Cc1nc2ccccc2nc1SCC(=O)N1CCC(C)CC1,1,1,1,0,0
M892366,COc1ccc2c(C)cc(SCC(=O)c3ccc4c(c3)OCO4)nc2c1,1,1,1,1,1
M287816,O=C(NC[C@@H](O)CO)c1c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(N(CCO)C(=O)CO)c1I,0,0,0,0,0
M203030,CNc1ncnc2c1ncn2[C@@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0,0,0,0,0
M873127,O=C1CC[C@H](NC(=O)c2ccccc2)C(=O)N1,0,0,0,0,0
M702754,O=C(O)C=C1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1,0,0,0,0,0
M343531,O=S(=O)(N/N=C\c1cn(-c2ccccc2)nc1-c1ccccc1)c1ccccc1,1,1,1,1,1
M735057,O=C(O)CC[N+](=O)[O-],0,0,0,0,0
